訂單編號,產品料號,目標數量,最早開始時間,交期,優先度,orderBomKey,已逾期天數
000001708159-2_0_4,ZHN1105122M,10,2022/1/20 08:57,2022/2/19 00:00,4,FGM0094013HJ04EDIA6_20220528_2_MGM0094101,29.62708333
000001708159-2_0_5,ZHN1105122M,10,2022/1/20 08:57,2022/2/19 00:00,4,FGM0094013HJ04EDIA6_20220528_2_MGM0094101,29.62708333
000001708160-2_0_0,ZHN1105122M,10,2022/1/19 08:57,2022/2/18 00:00,4,FGM0096011HJ04EDIA6_20220528_2_MGM0094101,29.62708333
000001708160-3_0_0,ZHN1105122M,10,2022/1/19 08:57,2022/2/18 00:00,4,FGM0096011HJ04EDIA6_20220528_2_MGM0094101,29.62708333
000001708160-3_0_1,ZHN1105122M,10,2022/1/19 08:57,2022/2/18 00:00,4,FGM0096011HJ04EDIA6_20220528_2_MGM0094101,29.62708333
000001708160-4_0_0,ZHN1105122M,10,2022/1/27 08:57,2022/2/26 00:00,4,FGM0094013HJ04EDIA6_20220604_2_MGM0094101,29.62708333
000001708160-4_0_1,ZHN1105122M,10,2022/1/27 08:57,2022/2/26 00:00,4,FGM0094013HJ04EDIA6_20220604_2_MGM0094101,29.62708333
000001708160-4_0_2,ZHN1105122M,10,2022/1/27 08:57,2022/2/26 00:00,4,FGM0094013HJ04EDIA6_20220604_2_MGM0094101,29.62708333
000001708160-4_0_3,ZHN1105122M,10,2022/1/27 08:57,2022/2/26 00:00,4,FGM0094013HJ04EDIA6_20220604_2_MGM0094101,29.62708333
000001708160-4_0_4,ZHN1105122M,10,2022/1/27 08:57,2022/2/26 00:00,4,FGM0094013HJ04EDIA6_20220604_2_MGM0094101,29.62708333
000001706305-2_0_3,ZUE1153123M,7,2022/1/27 08:59,2022/2/26 00:00,3,FTD0042012CF01SAISA_20220319_1_MTD0042201,29.62569444
000001704854-1_0_0,ZGS1172122M,10,2022/2/4 09:01,2022/3/6 00:00,4,FFR0061011FR01EDISA_20220319_2_MFR0061102,29.62430556
000001704855-2_0_0,ZGS1172122M,10,2022/1/28 09:01,2022/2/27 00:00,4,FFR0061011FR01EDISA_20220312_2_MFR0061102,29.62430556
000001695568-2_0_0,ZGS1177122M,10,2022/2/24 09:54,2022/3/26 00:00,4,FFR0066011FR01EDISA_20220409_2_MFR0066101,29.5875
000001711248-2_0_2,ZSS1143122M,6,2022/3/14 09:54,2022/4/13 00:00,3,FRR0032011RR01EDIAB_20220730_2_MRR0032101,29.5875
000001709653-2_0_5,ZUE1141123M,6,2022/2/16 10:36,2022/3/18 00:00,3,FTD0030012CF01SAISA_20220416_2_MTD0030201,29.55833333
000001709654-3_0_1,ZUE1141123M,6,2022/3/2 10:36,2022/4/1 00:00,3,FTD0030012CF01SAISA_20220430_2_MTD0030201,29.55833333
000001710699-5_0_0,ZUE1141123M,6,2022/3/9 10:36,2022/4/8 00:00,3,FTD0031012CF01FORSA_20220507_2_MTD0030201,29.55833333
